Id,Designator,Footprint,Quantity,Designation,Supplier and ref,Column1,_1
1,C1,C_0603_1608Metric,1,22u,,,
2,"J5,J6,J4",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,3,Conn_01x02,,,
3,J1,PinSocket_2x20_P2.54mm_Vertical,1,GPIO,,,
4,D1,LED_0402_1005Metric,1,LED,,,
5,R1,R_0603_1608Metric,1,1M,,,
6,"C12,C10,C11",C_0805_2012Metric,3,22u,,,
7,J7,USB_Micro-B_Molex_47346-0001,1,USB_B_Micro,,,
8,"D3,D2",D_SOD-323,2,D_Schottky,,,
9,U1,Texas_S-PVSON-N10_ThermalVias,1,TPS61232DRC,,,
10,R5,R_0603_1608Metric,1,470R,,,
11,U5,SSOP-24_5.3x8.2mm_P0.65mm,1,TB6612FNG,,,
12,C13,C_0402_1005Metric,1,10n,,,
13,L1,L_0402_1005Metric,1,1uH,,,
14,"C7,C6",C_0603_1608Metric,2,4.7uF,,,
15,R6,R_0603_1608Metric,1,2k,,,
16,C2,C_0603_1608Metric,1,0.1uF,,,
17,U4,SON50P200X300X100-9N,1,MCP73831-2ACI_MC,,,
18,"C9,C8",C_0603_1608Metric,2,10uF,,,
