Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,22u,
"C10, C11, C12",0805,3,22u,
C13,0402,1,10n,
C2,0603,1,0.1uF,
"C6, C7",0603,2,4.7uF,
"C8, C9",0603,2,10uF,
D1,0402,1,LED,
"D2, D3",D_SOD-323,2,D_Schottky,C146335
J1,PinSocket_2x20_P2.54mm_Vertical,1,GPIO,
"J4, J5, J6",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,3,Conn_01x02,
J7,USB_Micro-B_Molex_47346-0001,1,USB_B_Micro,
L1,0402,1,1uH,
R1,0603,1,1M,
R5,0603,1,470R,
R6,0603,1,2k,
U1,Texas_S-PVSON-N10_ThermalVias,1,TPS61232DRC,
U4,SON50P200X300X100-9N,1,MCP73831-2ACI_MC,C150772
U5,SSOP-24_5.3x8.2mm_P0.65mm,1,TB6612FNG,C141517
