Designator,Mid X,Mid Y,Rotation,Layer
C1,25.4,16.269,90.0,bottom
C10,19.685,20.889,90.0,bottom
C11,17.399,20.889,90.0,bottom
C12,21.844,20.889,90.0,bottom
C13,27.531,15.748,180.0,bottom
C2,56.147,12.065,180.0,bottom
C6,13.983,8.382,180.0,bottom
C7,10.808,11.684,0.0,bottom
C8,56.121,13.716,180.0,bottom
C9,55.626,17.399,180.0,bottom
D1,9.04,4.318,0.0,bottom
D2,19.558,14.478,270.0,bottom
D3,22.098,14.478,270.0,bottom
J1,8.37,25.253,270.0,bottom
J4,32.75,11.007,180.0,top
J5,25.003,4.53,180.0,top
J6,40.386,17.78,180.0,top
J7,3.486,13.723,90.0,bottom
L1,24.13,20.216,90.0,bottom
R1,28.131,17.145,0.0,bottom
R5,11.938,4.318,180.0,bottom
R6,10.858,13.589,180.0,bottom
U1,27.051,20.135,270.0,bottom
U4,10.668,16.129,180.0,bottom
U5,49.066,14.168,180.0,bottom
